1.000000000000000000e+00,3.132378256959841565e+02,2.103781700134277344e-02
2.000000000000000000e+00,9.839562667195340850e+01,3.168964385986328125e-02
3.000000000000000000e+00,1.064215018861317503e+02,2.910447120666503906e-02
4.000000000000000000e+00,6.311958477930902234e+01,2.926659584045410156e-02
5.000000000000000000e+00,6.414263358922134728e+01,2.974271774291992188e-02
6.000000000000000000e+00,4.599286098384810373e+01,3.186702728271484375e-02
7.000000000000000000e+00,4.544143966471884255e+01,3.329920768737792969e-02
8.000000000000000000e+00,3.425845050022819294e+01,3.602862358093261719e-02
9.000000000000000000e+00,3.768889677065518384e+01,3.417277336120605469e-02
1.000000000000000000e+01,2.726413335896228318e+01,3.472661972045898438e-02
2.000000000000000000e+01,1.588420723710239102e+01,4.465246200561523438e-02
3.000000000000000000e+01,1.032517410823015602e+01,5.884528160095214844e-02
4.000000000000000000e+01,7.425221081625224429e+00,7.519125938415527344e-02
5.000000000000000000e+01,6.269952653324823544e+00,1.013274192810058594e-01
6.000000000000000000e+01,5.564756313903075124e+00,1.289103031158447266e-01
7.000000000000000000e+01,4.547981791859678324e+00,1.584928035736083984e-01
8.000000000000000000e+01,4.137383337994068100e+00,1.971232891082763672e-01
9.000000000000000000e+01,3.884114527191118604e+00,2.416396141052246094e-01
1.000000000000000000e+02,3.382791106890960631e+00,2.897374629974365234e-01
1.100000000000000000e+02,2.886417205659550511e+00,3.553078174591064453e-01
1.200000000000000000e+02,2.743978703495650429e+00,4.329898357391357422e-01
1.300000000000000000e+02,2.696188348858486350e+00,8.325052261352539062e-01
1.400000000000000000e+02,2.464722667061224115e+00,9.541656970977783203e-01
1.500000000000000000e+02,2.180202054532962563e+00,1.069722414016723633e+00
1.600000000000000000e+02,2.069254953237152250e+00,1.545307159423828125e+00
1.700000000000000000e+02,1.924069030166821515e+00,1.804373025894165039e+00
1.800000000000000000e+02,1.820205006735031272e+00,1.925615310668945312e+00
1.900000000000000000e+02,1.664320958660139294e+00,2.195904254913330078e+00
2.000000000000000000e+02,1.709618069744399671e+00,2.629725456237792969e+00
