1.000000000000000000e+00,1.750663996440876508e+04
2.000000000000000000e+00,3.046843450148802731e+03
3.000000000000000000e+00,3.585828623806370615e+03
4.000000000000000000e+00,1.856294723149177798e+03
5.000000000000000000e+00,1.819693934250292841e+03
6.000000000000000000e+00,1.376116018815717780e+03
7.000000000000000000e+00,1.204194558602941470e+03
8.000000000000000000e+00,1.046288420782591402e+03
9.000000000000000000e+00,9.518136143942197123e+02
1.000000000000000000e+01,8.251299754375966131e+02
2.000000000000000000e+01,4.174554531057664803e+02
3.000000000000000000e+01,2.968325828082785165e+02
4.000000000000000000e+01,2.127949400492156542e+02
5.000000000000000000e+01,1.748054219060114178e+02
6.000000000000000000e+01,1.432787215541135595e+02
7.000000000000000000e+01,1.244176621095162147e+02
8.000000000000000000e+01,1.040254411923550890e+02
9.000000000000000000e+01,9.228657391724863146e+01
1.000000000000000000e+02,8.265074388953559037e+01
1.100000000000000000e+02,7.725776521198018543e+01
1.200000000000000000e+02,7.102861541459536454e+01
1.300000000000000000e+02,6.395664256223300015e+01
1.400000000000000000e+02,6.395640197657022696e+01
1.500000000000000000e+02,5.749672753913989709e+01
1.600000000000000000e+02,5.334636345460701534e+01
1.700000000000000000e+02,4.969336858965657910e+01
1.800000000000000000e+02,4.762275950966481020e+01
1.900000000000000000e+02,4.364238189110319865e+01
2.000000000000000000e+02,4.114198158601484323e+01
